,eng,hin,original_response_mistral,processed_mistral
397,kaabilegaur,काबिलेगौर,काइबलेगौर,काइबलेगौर
398,anshaankan,अंशांकन,अंशांकन,अंशांकन
399,badalawa,बदलवा,बदलावा,बदलावा
400,lekhakaganon,लेखकगणों,लेखाकगणों,लेखाकगणों
401,mog,मॉग,मोग,मोग
402,sadqen,सडक़ें,सद्गन,सद्गन
403,tuchche,टुच्चे,तूच्चे,तूच्चे
404,pityuniya,पिट्यूनिया,पिट्यूनिया,पिट्यूनिया
405,gairajimmedaari,गैरजिम्मेदारी,गैरजीमेदारी,गैरजीमेदारी
406,gayikao,गायिकाओ,गायीकाओ,गायीकाओ
407,pratimurtiyon,प्रतिमूर्तियों,प्रतिमूर्तियों,प्रतिमूर्तियों
408,ug,यूजी,"ओझ

(This is the transliteration of ""ug"" in Hindi.)",ओझ
409,ratiyo,रातियो,रातियो,रातियो
410,sapa,सपा्,सापा,सापा
411,pradeshwashiyon,प्रदेशवाशियों,प्रदेशवाशियों,प्रदेशवाशियों
412,sahowaliya,साहोवालिया,सहोवालिया,सहोवालिया
413,dhoodh,ढूढ़,धूध,धूध
414,radiopremee,रेडियोप्रेमी,रेडियोप्रेमी,रेडियोप्रेमी
415,laipiyare,लैपियरे,लैपियारे,लैपियारे
416,bataayaaki,बतायाकि,बतायाकी,बतायाकी
417,yaachikakarta,याचिकाकर्ता,याछिकाकर्ता,याछिकाकर्ता
418,fixingh,फिक्सिंगः,फिक्सिंगह,फिक्सिंगह
419,maathaloo,माथलू,माथलू,माथलू
420,sevalaa,सेवाला,सेवाला,सेवाला
421,pratishthanon,प्रतिष्ठानोंं,प्रतिष्ठानों,प्रतिष्ठानों
422,airtu,एआईआरटीयू,ऐरटू,ऐरटू
423,arthshaastreeyon,अर्थशास्त्रीयों,अर्थशास्त्रीयों,अर्थशास्त्रीयों
424,nateejeh,नतीजेः,नाटीजेह,नाटीजेह
425,pensiondhaariyon,पेंशनधारियों,पेंशनधारीयों,पेंशनधारीयों
426,gurupado,गुरुपदो,गुरुपादो,गुरुपादो
427,kathhnaeeyon,कठनाईयों,कथ्नाएयों,कथ्नाएयों
428,aatankvadiyon,आतंकवादियोंं,आतंकवादियों,आतंकवादियों
429,gaangnaam,गांगनाम,गांगनाम,गांगनाम
430,andaji,अंदाजी,अन्दजी,अन्दजी
431,lx,एलएक्स,ल्यूएक्स,ल्यूएक्स
432,saraaymohiuddeenpur,सरायमोहिउद्दीनपुर,सरायमोहिउद्दीनपुर,सरायमोहिउद्दीनपुर
433,nimnavat,निम्नवत्,निम्नवत्,निम्नवत्
434,kaalavan,कालवन,कालवन,कालवन
435,theen,थींं,ठीन,ठीन
436,karnpriya,कर्णप्रिय,कर्णप्रिया,कर्णप्रिया
437,lokapratinidhiyon,लोकप्रतिनिधियों,लोकप्रतिनिधियों,लोकप्रतिनिधियों
438,harraa,हर्रा,हररा,हररा
439,beechbachaav,बीचबचाव,बीचबचाव,बीचबचाव
440,vives,विवेस,वीवेस,वीवेस
441,raashtrapit,राष्ट्रपित,राष्ट्रपित,राष्ट्रपित
442,kikkar,किक्कर,किक्कर,किक्कर
443,gyaanavarddhak,ज्ञानवर्द्धक,ग्यानवर्धक,ग्यानवर्धक
444,greenpaark,ग्रीनपार्क,ग्रीनपार्क,ग्रीनपार्क
445,lekhan,लेख़न,लेखान,लेखान
446,raidcras,रैडक्रास,रेडक्रास,रेडक्रास
447,krantidhara,क्रांतिधरा,क्रान्तिधारा,क्रान्तिधारा
448,khaatedaar,खातेदार,खातेदार,खातेदार
449,tasvire,तस्वीरे,तस्वीरे,तस्वीरे
450,shantiyon,शांतियों,शांतियों,शांतियों
451,sidiyaan,सीडीयां,सिदियान,सिदियान
452,bhrastraachariyon,भ्रष्ट्राचारियों,भ्रष्टाचारियों,भ्रष्टाचारियों
453,camstudio,कैमस्टूडियो,केमस्टूडियो,केमस्टूडियो
454,nagaraayukt,नगरायुक्त,नगरायुक्त,नगरायुक्त
455,overall,ओवरऑल,ओवरव्यावस्था,ओवरव्यावस्था
456,chikatsaa,चिकत्सा,चिकटसा,चिकटसा
457,gulmohammed,गुलमोहम्मद,गुलमोहम्मद,गुलमोहम्मद
458,kaathiyavadi,काठियावड़ी,काठियावादी,काठियावादी
459,pratishaap,प्रतिशाप,प्रतिशाप,प्रतिशाप
460,manosh,मनोष,मानोश,मानोश
461,kunjiyon,कुंजियों,कुन्जियों,कुन्जियों
462,sangathanmantriyon,संगठनमंत्रियों,संगठनमंत्रियों,संगठनमंत्रियों
463,cdyaan,सीडीयां,चद्यान,चद्यान
464,badaa,बडा़,बड़ा,बड़ा
465,vandemaataram,वन्देमातरम्,वन्देमातरम्,वन्देमातरम्
466,sattaawirodhee,सत्ताविरोधी,सत्ताविरोधी,सत्ताविरोधी
467,menraajya,मेंराज्य,मेन्राज्य,मेन्राज्य
468,faarensis,फारेंसिस,फारेन्सिस,फारेन्सिस
469,barapaayee,बरपायी,बारापायी,बारापायी
470,ambedakaree,अंबेडकरी,अम्बेदकरे,अम्बेदकरे
471,pulamaa,पुलमा,पुलामा,पुलामा
472,safaeekarmi,सफाईकर्मी,सफाईकार्मी,सफाईकार्मी
473,madhyaan,मध्यान,मध्यान,मध्यान
474,namajiyon,नमाजियों,नमाजियों,नमाजियों
475,rediyopremee,रेडियोप्रेमी,रेडियोप्रेमी,रेडियोप्रेमी
