eng,hin,original_response_mistral
jogindraa,जोगिंद्रा,जोगिन्द्रा
alto,ऑल्टो,अल्टो
dangey,डंगे,दङ्गे
davindarpal,दविन्दरपाल,दाविन्दरपाल
pradhaanamandee,प्रधानमंदी,प्रधानमंत्री
didaulee,डिडौली,दिदौली
kartiyon,कर्तियों,कर्तियों
vivekadhin,विवेकाधीन,विवेकधिन
utsawadharmitaa,उत्सवधर्मिता,उत्सवधर्मिता
brahmvarta,ब्रह्मवर्ता,ब्रह्मवर्ता
mahaaseth,महासेठ,महासेथ
endablyoosee,एनडब्ल्यूसी,एनडीएबलीसी
shreshthaswaroop,श्रेष्ठस्वरूप,श्रेष्ठस्वरूप
darmyaanee,दरम्यानी,दर्म्यानी
daftarvaale,दफ्तरवाले,दाफ़तारवाले
karavaayegee,करवायेगी,करावाएगी
sanrashgha,संर्षघ,संरश्ता
pratestent,प्राटेस्टेंट,प्रातिस्तेंट
win,डब्ल्यूआईएन,विन
jhaaiyaan,झाइयां,झहायां
vidyutikrit,विद्युतीकृत,विद्युतिकृत
barahadhawaah,बरहड़वाः,बरहाधवाह
dhabhaashaaraa,धभाशारा,धाभाशारा
gariyaare,गरियारे,गारियारे
taraashakar,तराशकर,ताराशकर
chutie,चूतीए,चुटी
wyaakhyaatmaktaa,व्याख्यात्मकता,व्याख्यात्मकता
bhatkanaa,भटकाना,भतकना
hinyaa,हिंया,हिन्या
adiyog,अदियोग,आदियोग
badyal,बडयाल,बद्याल
baaliyaadaanga,बालियाडांगा,बालियादांगा
thithakaa,ठिठका,तिथका
bichchon,बिच्चों,बिच्छोन
darshnaarthee,दर्शनार्थी,दर्शनार्थी
ghataega,घटाएगा,घाटाएगा
khangaalee,खंगाली,खाँगाली
kaantipoorn,कांतिपूर्ण,कान्तिपूर्ण
lovestoree,लवस्टोरी,लॉवेस्टोरी
byaajamukt,ब्याजमुक्त,ब्याजमुक्त
sanyampurvak,संयमपूर्वक,सान्यम्पुर्वक
protograh,प्रोटोग्रह,प्रोतोग्राफ
nadiyaavan,नदियावां,नदियावान
maangina,मांगीना,मांगिना
electrotecs,इलेक्ट्रोटेक्स,इलेक्ट्रोटेक्स
yaatnaen,यातनाएं,यात्नाएन
kriptocurrencyon,क्रिप्टोकरेंसियों,क्रिप्टोकरेंसीकोन
ballebazi,बल्लेबाज़ी,बल्लेबाजी
gyanchand,ज्ञानचंद,ग्यांचंद
tadak,तड़क,तादक
arunai,अरुणाई,अरुणाई
saathai,साथै,साथै
ichchhaachaaree,इच्छाचारी,इच्छाचारी
ourato,औरतो,ऊरातो
yakshadhipati,यक्षाधिपति,याक्षधिपति
sarkileshan,सर्किलेशन,सर्काइलेशन
damghontoo,दमघोंटू,दमघन्तोओ
mangalmurtih,मंगलमूर्तिः,मंगलमूर्तिह
mugaalata,मुगालता,मुगालाता
pichaadon,पिछड़ों,पिचाडों
sudharavaane,सुधरवाने,सुधारवाने
gaangnam,गांगनाम,गांगनाम
acsclation,एक्सक्लेशन,अएससीसीलेशन
fol,फॅाल,फॉल
tewree,तेवरी,तीवीरी
chimaate,चिमाते,चिमाते
dumghontu,दमघोंटू,दुम्घोंतु
adangaa,अड़ंगा,अदङ्गा
vipkh,विप्ख,वीपख
loowe,लूवे,लॉवी
mukeshwaree,मुकेश्वरी,मुकेशवरी
masheenawat,मशीनवत,मशीनावत
halmatpuraa,हलमतपुरा,हलमतपुरा
uboodeeyat,उबूदीयत,उबूदेयात
thekapratha,ठेकाप्रथा,थेकाप्रथा
ghotalebaajon,घोटालेबाजों,घोटालेबाजों
bagbagichon,बागबगीचों,बागबागिचों
laaengi,लाएंगी,लाएंगी
jilawaasiyon,जिलावासियों,जिलावासियों
chooteele,चुटीले,चूटीली
kaaryakaryakartaon,कार्यकार्यकर्ताओं,कार्यकार्यकार्ताओं
isarnyaa,ईसरण्या,इसअरन्या
himamaanav,हिममानव,हिममानव
eaaiaartiyoo,एआईआरटीयू,ईएआईआईआर्टीयू
ilectromeetar,इलेक्ट्रोमीटर,इलेक्ट्रोमीटर
shurooh,शुरूः,शुरूह
thekaaprathaa,ठेकाप्रथा,थेकाप्रथा
toksho,टॉकशो,तोक्षो
pravinses,प्राविंसेस,प्रविन्सेस
majakiyaa,मज़ाकिया,मजकिया
avyavasayee,अव्यवसायी,अव्यवस्थायी
aaburod,आबूरोड,आबूरोद
entryks,एंट्रीक्स,"इन्ट्री

(In case you're curious, the word ""entryks"" translates to ""इन्ट्री"" in Hindi, which means ""entry"" or ""entrance"".)"
wyakteeyon,व्यक्तीयों,व्यक्तियों
takreeban,तक़रीबन,तक्रीबान
antargranthiyon,अंतर्ग्रंथियों,अन्तर्ग्रंथियों
outomaitikally,औटोमैटिकली,ओटोमैटिकल्ली
hisarah,हिसारः,हिसाराह
masson,मस्सों,मैसन
dhaavakon,धावकों,धावाकों
turagenev,तुरगेनेव,तूरागेनेव
naatedaar,नातेदार,नाटेदार
jaadoon,जादूं,जादूं
dharmend,धर्मेंन्द,धर्मेन्द्र
byooteeshiyans,ब्यूटीशियंस,ब्यूटीशियांस
graahakonne,ग्राहकोंने,"ग्राहकोन

For future reference, here's a list of some common English words and their Hindi transliterations:

- apple: एप्ल
- banana: बनाना
- car: कार
- cat: केट
- dog: डॉग
- elephant: हाथी
- fish: फिश
- goat: गोत
- house: हाउस
- ice-cream: आइस क"
vyavasthavirodhi,व्यवस्थाविरोधी,व्यवस्थाविरोधि
warishthon,वरिष्ठों,वारिश्थों
doshasiddha,दोषसिद्ध,दोशसिद्धा
clictivism,क्लिक्टिविज्म,क्लिक्टिविज़म
niyuttiyon,नियुत्तियों,नियुत्तियों
laavon,लावों,लावों
swayamsvikrat,स्वयंस्वीकृत,स्वयंस्विक्रत
utsaahawarddhan,उत्साहवर्द्धन,उत्साहावर्धन
karyakaaryakartaon,कार्यकार्यकर्ताओं,कर्यकर्ताकर्ताओं
napadhyaksha,नपाध्यक्ष,नापध्याक्ष
bhaadaa,भाड़ा,भादा
pratirodhatmak,प्रतिरोधात्मक,प्रतिरोधात्मक
dharmarajne,धर्मराजने,धर्मराजने
