picot,पिकॉट
mahajwala,महाज्वाला
calmard,कैलमार्ड
turbofan,टर्बोफैन
ludhakegi,लुढ़केगी
dericar,डेरिकार
pataash,पताश
ugaayi,उगायी
padade,पड़दे
mandalikrit,मण्डलीकृत
railwakermy,रेलवेकर्मी
cyclogical,सायक्लोजिकल
mashrike,मश्रिके
bedwal,बेडवाल
budalyachya,बुडाल्याच्या
kakurana,काकुराणा
sevaproxy,सेवाप्रोक्सी
kadekadene,कडेकडेने
cleric,क्लर्क
solable,सोलेबल
jayawantia,जयवंतिया
sdfi,एसडीएफआई
jatasi,जटासी
kismatein,किस्मतें
daginyanmadhye,दागिन्यांमध्ये
kaimbwala,कैंबवाला
kathorata,कठोरता
grihsankulache,गृहसंकुलाचे
saundaryan,सौन्दर्यन
fabega,फबेगा
dandwt,दंडवत्
chokan,चोकन
anubhaavik,अनुभाविक
etaraazaat,एतराज़ात
khiladri,खिलाड्री
udeshya,उछेश्य
shadangi,षाडंगी
boxfish,बाक्सफिश
anwarjati,अन्वर्जति
jhareka,झरेका
vaastushailiyon,वास्तुशैलियों
zuckerman,जकरमैन
horaraaj,होरराज
meeruthiya,मेरथिया
sareef,सरीफ
venkateswaralu,वेंकटेश्वरलू
sphoti,स्फोटी
thaawalon,थावलों
editroom,एडिटरूम
tekirdag,टेकिरडाग
jawaabatalabee,जवाबतलबी
visphotsthal,विस्फोटस्थल
idapaddi,इदापड्डी
ferkuwa,फेरकुवा
mustafafur,मुस्तफाफुर
yuvake,युवाके
ghoshnayen,घोषणाएं
coopers,कूपार्स
aguavai,अगुआवाई
oudyogeekaran,औद्योगीकरण
seemantvarti,सीमांतवर्ती
mrigadaay,मृगदाय
inkwaayari,इनक्वायरी
nityanant,नित्यानंत
excluted,एक्सक्लूटेड
laundon,लौंडों
laduwala,लादूवाला
gangawater,गंगावॉटर
karhara,करहारा
samaveshipan,समावेशीपन
concusion,कंक्यूजन
rajyastaravarun,राज्यस्तरावरून
dabraj,डब्राज
gharahi,घरही
adhabheege,अधभीगे
girvaay,गिरवाय
prabodhchandram,प्रबोधचंद्रम
sahabaganj,सहाबागंज
nonsmoker,नॉनस्मोकर
vanmitra,वनमित्र
nanakmattta,नानकमत्ता
zumlebaaz,ज़ुमलेबाज
juthaarane,जुठारने
anghala,अंघला
nardak,नरदाक
ajhoho,अझोहो
shadirahul,शादीराहुल
aapbal,आपबल
nadaswaram,नादस्वरम
odhvalyane,ओढवल्याने
pebak,पेबाक
ghoshanabajishivay,घोषणाबाजीशिवाय
antargathit,अंतर्गठित
suryaman,सूर्यमन
hamaya,हमाया
achintaya,अचिन्तय
dansabhi,दानसभी
tissues,टिश्यू
woakes,वोक्स
bhingokar,भींगोकर
niper,नाइपर
cayman,कैमन
muktaabharan,मुक्ताभरण
pudhakar,पुढाकर
bedade,बेडडे
naditalon,नदीतलों
hartless,हार्टलेस
sevamandal,सेवामंडल
khadeid,खदेड़
impresario,इम्प्रेसारियो
damal,दामल
flirting,फ़्लर्टिंग
jackets,जैकेट
pahunchaaiegaa,पहुँचाइएगा
buckhead,बकहेड
aakart,आकर्त
frankel,फ्रैंकेल
meir,मायेर
gue,ग्यू
aavahamaan,आवहमान
tatolenge,टटोलेंगे
sanrakshi,संरक्षी
dhvanyatma,ध्वन्यात्म
pelphi,पेल्फी
eterceptor,इटरसेप्टर
notjabti,नोटजब्ती
apraiv,अप्रैव
conks,कॉन्क्स
nishchintitai,निश्चिन्तितै
jharkatiya,झरकटिया
gwower,ग्वोवर
marathonke,मराठोंके
ganvaayee,गंवायी
doop,डूप
bhalahin,भलहीं
giloye,गिलोए
tedwa,टेडवा
saaeenkiran,साईंकिरण
likhja,लिखजा
mokshavaahini,मोक्षवाहिनी
genpack,जेनपैक
excitation,एक्साइटेशन
kheejha,खीझा
soomeriyano,सुमेरियनों
suchavlele,सुचवलेले
shabtadi,शब्तादी
hadas,हदास
rilji,रिलजी
koonchte,कूंचते
fernandish,फर्नाडिश
dhaunta,ढौंटा
osmanabadkaranche,उस्मानाबादकरांचे
jafarlala,जफरलाला
kandaganur,कंदगनूर
daraata,डराता
alvina,अल्विना
yerkes,यर्कीज़
cgnp,सीजीएनपी
kelyapeksha,केल्यापेक्षा
deepima,दीपिमा
befaayade,बेफायदे
hiraasatiya,हिरासतीय
palakkat,पालक्काट
ghopga,घोपगा
caucus,कॉकस
bandkartaon,बन्दकर्ताओं
ganeshalakshmi,गणेशलक्ष्मी
ivgenia,इवगेनिया
sarhilla,सरहिल्ला
bordakade,बोर्डाकडे
rodget,रॉजेट
sbin,एसबीआईएन
bhadrasena,भद्रसेना
gunadharmache,गुणधर्माचे
kantawadi,कांटावाडी
mahamargapaiki,महामार्गापैकी
lambak,लम्बक
baegni,बैगनी
devdharmaraj,देवधर्मराज
charbhi,चर्भी
finances,फाइनान्स
raandad,रांदड़
ghoshwara,घोषवारा
ergonomic,एर्गोनामिक
vyaadhion,व्याधिओं
sanguda,सांगुडा
nirarthaktaon,निरर्थकताओं
standtone,स्टैंडटोन
nashaakhoree,नशाखोरी
kirmanshah,किर्मानशाह
linteloff,लिंटेलोफ
bairaakon,बैराकों
sikshaaon,सिक्षाओं
ijmc,आईजेएमसी
nigamitikaran,निगमितीकरण
cicc,सीआइसीसी
pratishthannon,प्रतिष्ठान्नों
abbar,अब्बार
grihashram,गृहाश्रम
trifna,त्रिफना
chakrehi,चकरेही
mlisc,एमएलआईएससी
muruganantham,मुरुगनथम
niyativaad,नियतिवाद
bhaktai,भक्ताई
divasotsav,दिवसोत्सव
refinerypeksha,रिफायनरीपेक्षा
considerate,कंसिडरेट
rafelcha,राफेलचा
kokuna,कोकूना
pudgalkarm,पुद्गलकर्म
proctotrypoids,प्रोक्टोट्रिपोइड
kamashivay,कामाशिवाय
saibu,सैबू
bainaamen,बैनामें
selang,सेलंग
computerise,कंप्यूटराइज
progenitor,प्रोजेनिटर
nigadimadhye,निगडीमध्ये
jaahaan,जाहाँ
nimnatam,निम्नतम
qamrul,क़मरुल
raajaaon,राजाओं
jego,जेगो
julega,जुलेगा
vizkara,विजकारा
lindso,लिंडसो
piswana,पिसवाना
todenhofer,टोडेनहॉफर
revada,रेवड़ा
pandugati,पण्डुगति
khwan,ख्वान
radang,रडांग
madhyapoorvet,मध्यपूर्वेत
velkol,वेलकोल
kenirakaran,केनिराकरण
bautiya,बौतिया
footballpatuncha,फुटबॉलपटूंचा
mushrika,मुश्रिका
mohanalal,मोहनालाल
shabaraswamy,शबरस्वामी
sahatode,सहतोडे
bichchhoo,बिच्छू
rajyanetaon,राज्यनेताओं
pashupaln,पशुपालन
gaurishankar,गौरीशंकर
lipiter,लिपीटर
samparshvik,सांपार्श्विक
cjcsc,सीजेसीएससी
sanmugam,सन्मुगम
nazdikiyaan,नज़दीकियाँ
hahraya,हहराया
narkhede,नारखेडे
khawais,खवाइस
hallyababat,हल्ल्याबाबत
mantriyamandal,मंत्रियमंडल
whatsapp,व्हाटसएप
bakhi,बखी
khilawa,खिलावा
guds,गुड्स
sanrakshikaen,संरक्षिकाएं
karisath,कारीसाथ
kyotik,क्योटिक
sakuntanaga,साकुन्तनागा
katuo,कटुओ
deepshika,दीपशिका
darkinara,दरकिनारा
prakaspunj,प्रकासपुंज
vishaharia,विशहरिया
semratola,सेमराटोला
banakoti,बानाकोटी
middhi,मिद्धि
temariyapura,टेमरियापुरा
bahuchartit,बहुचर्तित
phillipin,फिलिपिन
adhajgi,अधजगी
planwala,प्लांवाला
yarigiri,यारीगिरी
airwardiness,एयरवर्दीनेस
abhiyanpurvak,अभियानपूर्वक
haydn,हाइडेन
imbedded,इम्बेडेड
hvapnl,एचवीएपीएनएल
nyaaypath,न्यायपथ
jayshankarprasad,जयशंकरप्रसाद
refresh,रीफ्रेश
adhalakkha,अधलक्खा
brahmandwad,ब्रह्माण्डवाद
magregar,मग्रेगर
jatthon,जत्थों
stylition,स्टाइलिशन
gadbada,गड़बड़ा
nicaaragua,निकारागुआ
bawastagi,बावस्तगी
arsiv,अरसिव
natwada,नटवाडा
devlaspur,देवलासपुर
esamoh,एसामोह
bitlakar,बिटलाकर
vakigiri,वकिगिरी
sobhandev,सोभनदेव
gurshabad,गुरशबद
moongfali,मूंगफली
sambhapurmadhil,संभापूरमधील
